dataset,protocol,variant,run,status,output_dir
2773,drug_cold,without_protein,3,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/drug_cold/without_protein/run3
2773,drug_cold,without_protein,4,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/drug_cold/without_protein/run4
2773,drug_cold,without_protein,5,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/drug_cold/without_protein/run5
2773,drug_cold,without_drug,1,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/drug_cold/without_drug/run1
2773,drug_cold,without_drug,2,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/drug_cold/without_drug/run2
2773,drug_cold,without_drug,3,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/drug_cold/without_drug/run3
2773,drug_cold,without_drug,4,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/drug_cold/without_drug/run4
2773,drug_cold,without_drug,5,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/drug_cold/without_drug/run5
2773,drug_cold,without_joint,1,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/drug_cold/without_joint/run1
2773,drug_cold,without_joint,2,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/drug_cold/without_joint/run2
2773,drug_cold,without_joint,3,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/drug_cold/without_joint/run3
2773,drug_cold,without_joint,4,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/drug_cold/without_joint/run4
2773,drug_cold,without_joint,5,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/drug_cold/without_joint/run5
2773,protein_cold,full,1,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/full/run1
2773,protein_cold,full,2,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/full/run2
2773,protein_cold,full,3,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/full/run3
2773,protein_cold,full,4,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/full/run4
2773,protein_cold,full,5,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/full/run5
2773,protein_cold,without_protein,1,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/2773/protein_cold/without_protein/run1
