study,model,dataset,configuration,split,run,seed,train_n,val_n,test_n_total,test_n_valid,best_epoch,epochs_ran,epochs_max,patience,batch_size,lr,weight_decay,dropout,parameter_count,trainable_parameter_count,training_duration_sec,mean_epoch_duration_sec,setup_duration_sec,final_evaluation_duration_sec,artifact_write_duration_sec,run_to_metrics_duration_sec,subprocess_wall_clock_duration_sec,training_peak_gpu_memory_mb,timing_protocol,feature_precomputation_included,train_mse,train_rmse,train_mae,train_r2,train_pearson,train_spearman,train_ci,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,val_ci,test_mse,test_rmse,test_mae,test_r2,test_pearson,test_spearman,test_ci
mgca_kinetx_tuned,MGCA-Morgan,KinetX,tuned,warm,1,42,3812,544,1090,1090,51,66,100,15,64,3.207243352197332e-05,0.01,0.05,18912528,18912528,100.99292603135109,1.530195848959865,7.431574951857328,0.2249208427965641,0.013890136033296585,108.87601958960295,111.04180069640279,701.5029296875,synchronized_wall_clock_v1,False,0.018304470105327514,0.1352940135605693,0.08199895982672573,0.9874434473905283,0.9938011039486448,0.993943297309662,0.9715980781945122,0.33760675449643074,0.5810393743081709,0.387585696997121,0.7174180269470214,0.848514955321778,0.8360268191624652,0.832010958755476,0.5005720428382273,0.7075111609283823,0.4370446817240242,0.6591312042596549,0.815602128800598,0.8220058890240373,0.8271531504167933
mgca_kinetx_tuned,MGCA-Morgan,KinetX,tuned,warm,2,42,3812,544,1090,1090,47,62,100,15,64,3.207243352197332e-05,0.01,0.05,18912528,18912528,103.86341364681721,1.675216349142213,8.649528119713068,0.24111105501651764,0.014906767755746841,112.98325210809708,115.0072280652821,701.5029296875,synchronized_wall_clock_v1,False,0.020078375705492056,0.1416981852582878,0.08634332485828287,0.9861204537533421,0.99357720189172,0.9936805462909436,0.9715519339282821,0.3077778381968318,0.5547772870232088,0.3823254925185157,0.7659267660312874,0.8762638184426507,0.8692808281193529,0.8483347236068443,0.47408052394540307,0.6885350564389608,0.4434693706059538,0.6729668808712659,0.8227138187952109,0.822871688331132,0.8219619496982706
mgca_kinetx_tuned,MGCA-Morgan,KinetX,tuned,warm,3,42,3812,544,1090,1090,55,70,100,15,64,3.207243352197332e-05,0.01,0.05,18912528,18912528,105.26416038349271,1.5037737197641816,8.153591122478247,0.23869865387678146,0.01408299058675766,113.88473820313811,115.91819820925593,701.5029296875,synchronized_wall_clock_v1,False,0.014122314755606071,0.11883734579502385,0.07839955801583029,0.9900950321148577,0.9951442877038557,0.9943673813339778,0.9719850496483706,0.43144521332978253,0.6568448929007384,0.43093323819202317,0.6782279465761917,0.8252250814589384,0.8142506408787659,0.8192643628275376,0.44552423122963575,0.6674760154714443,0.4185328998919064,0.7050098502515225,0.8426059832158982,0.8549906281607278,0.8406163679714089
mgca_kinetx_tuned,MGCA-Morgan,KinetX,tuned,warm,4,42,3812,544,1090,1090,54,69,100,15,64,3.207243352197332e-05,0.01,0.05,18912528,18912528,105.36857533827424,1.5270808020039746,8.147896494716406,0.23918887227773666,0.013910401612520218,113.98424256592989,117.3192545697093,701.5029296875,synchronized_wall_clock_v1,False,0.013463271073570997,0.11603133660167411,0.07761655916930894,0.990846135608575,0.9955637505450635,0.9946110189246681,0.9730644303337761,0.329007226866578,0.5735915156856646,0.3908811905147398,0.7595800537922409,0.8718387936260724,0.8445968683369037,0.8352085834231961,0.36237075516326134,0.6019723873760834,0.3909820601258666,0.729065825090377,0.8557939138543524,0.8490438952506439,0.8390181048623909
mgca_kinetx_tuned,MGCA-Morgan,KinetX,tuned,warm,5,42,3812,544,1090,1090,17,32,100,15,64,3.207243352197332e-05,0.01,0.05,18912528,18912528,49.877661392092705,1.558676918502897,8.488332517445087,0.2474324032664299,0.012972824275493622,58.84496646746993,60.858921468257904,701.5029296875,synchronized_wall_clock_v1,False,0.06378164821533037,0.25255028848791755,0.17555606965970438,0.9562017696342048,0.9801440733862272,0.9770162436506512,0.9391912079694013,0.4895530049994003,0.6996806450084212,0.4585998734503793,0.6616702916808768,0.8160717480925691,0.8259320553304191,0.8238716896680344,0.4044484471155632,0.6359626145580911,0.43157805649375697,0.6999208641158257,0.8426760891122916,0.8346182696166948,0.8295544297132365
mgca_kinetx_tuned,MGCA-Morgan,KinetX,tuned,drug_cold,1,42,3811,545,1090,1090,30,45,100,15,64,3.207243352197332e-05,0.01,0.05,18912528,18912528,64.30896276980639,1.429088061551253,8.13124980032444,0.23300428688526154,0.015343613922595978,72.88165970146656,74.95469428598881,701.5029296875,synchronized_wall_clock_v1,False,0.03204387015484709,0.1790080170127782,0.11845144843113248,0.9768394724115681,0.9889153327549803,0.9879940976851268,0.9577968549163333,0.7362410991388774,0.8580449283917931,0.5632288562868714,0.605309135534738,0.779471607394112,0.7837848466617354,0.8008748522209086,0.5452964430771318,0.738441902303175,0.5073180701609257,0.6090937799320799,0.78050918820992,0.7897658116018019,0.7999603402301955
mgca_kinetx_tuned,MGCA-Morgan,KinetX,tuned,drug_cold,2,42,3812,545,1089,1089,17,32,100,15,64,3.207243352197332e-05,0.01,0.05,18912528,18912528,52.271402686834335,1.633481333963573,8.270845264196396,0.24162447825074196,0.013661779463291168,61.02316306903958,63.077070735394955,701.5029296875,synchronized_wall_clock_v1,False,0.07700024391927046,0.2774891780219014,0.18308973341817691,0.9461395865136529,0.9732564179378099,0.9695731692593885,0.9315397551996732,0.5254905170307456,0.7249072471914911,0.5296414405551799,0.6532180533413111,0.8189652120892387,0.7946132774762693,0.8036657882289344,0.5503386430279068,0.741848126659296,0.5209720438744794,0.6096004502608924,0.7906113813154336,0.7565495462318669,0.7868794811843091
mgca_kinetx_tuned,MGCA-Morgan,KinetX,tuned,drug_cold,3,42,3812,545,1089,1089,11,26,100,15,64,3.207243352197332e-05,0.01,0.05,18912528,18912528,37.31234189867973,1.4350900730261436,8.11134172976017,0.22511283680796623,0.013726044446229935,45.87378637865186,47.816680025309324,701.5029296875,synchronized_wall_clock_v1,False,0.12875040534404597,0.3588180671928965,0.2430745981360521,0.912653128388569,0.9558743509367192,0.9485080176653058,0.9080883909158683,0.4914942910963739,0.701066538280336,0.4962718950806681,0.5605047950129135,0.7541841771465805,0.7172087414491053,0.7690961192738676,0.6053692673199627,0.7780547971190478,0.5205399334393065,0.5828059638572205,0.773884318100256,0.7724016725761401,0.7948722067416947
mgca_kinetx_tuned,MGCA-Morgan,KinetX,tuned,drug_cold,4,42,3812,545,1089,1089,17,32,100,15,64,3.207243352197332e-05,0.01,0.05,18912528,18912528,57.04620223864913,1.7826938199577853,8.065923817455769,0.2222454734146595,0.01609797775745392,65.5670907124877,67.61271246522665,701.5029296875,synchronized_wall_clock_v1,False,0.07934225455418599,0.2816775719758071,0.20017489845276168,0.9442991524262367,0.9742211896340707,0.9703988592349658,0.9306612800926565,0.46047169349278855,0.6785806462704257,0.47145890634541116,0.6840818235607045,0.8292264909502638,0.8045906127536256,0.8103154650879896,0.5815424853834977,0.7625893294450806,0.5350008960454096,0.6006466968151418,0.7928006154823473,0.777377945189937,0.7978649840820599
mgca_kinetx_tuned,MGCA-Morgan,KinetX,tuned,drug_cold,5,42,3812,545,1089,1089,14,29,100,15,64,3.207243352197332e-05,0.01,0.05,18912528,18912528,41.861168667674065,1.4434885747473816,8.143520385026932,0.22671236842870712,0.013845037668943405,50.46792035922408,52.508355248719454,701.5029296875,synchronized_wall_clock_v1,False,0.09424458176481916,0.3069928040928959,0.2107832684401024,0.9349523992362302,0.9680954134319122,0.9625278611085237,0.9225365357017976,0.6055492950070417,0.7781704793983396,0.5379377196209694,0.5260084124592239,0.7397278454764372,0.719692765330252,0.7721927482850675,0.6779718304345927,0.8233904483503515,0.5809864824205034,0.5352087853072303,0.7503115473536027,0.7365696391608939,0.7762346592186705
